cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,target,no_sig
CVE-2017-13042,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13043,3,3,0,0,0,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13044,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13045,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13046,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13047,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13048,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13049,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13050,5,3,2,1,0,,4.9.3,,6,
CVE-2017-13051,1,0,1,0,0,,,4.9.1;4.9.0;4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-13052,5,2,3,0,0,,,4.8.1,6,
CVE-2017-13053,3,2,1,0,0,,,4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-13054,6,3,3,0,0,,,,6,
CVE-2017-13055,3,2,1,0,1,4.8.1,,4.99.0-bp;4.99-bp,6,
CVE-2017-13687,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2017-13688,3,2,1,0,1,4.8.1,,4.99.0-bp;4.99-bp,6,
CVE-2017-13689,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2017-13690,3,2,1,0,0,,,4.8.1;4.99.0-bp;4.99-bp,6,
CVE-2017-13725,0,0,0,0,0,,,4.9.1;4.9.0;4.8.1;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14461,3,3,0,0,0,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14462,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14463,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14464,2,1,1,2,0,,4.99.0-bp;4.99-bp,4.9.1;4.9.0,6,
CVE-2018-14465,1,0,1,2,3,4.9.2;4.9.1;4.9.0,4.99.0-bp;4.99-bp,,6,
CVE-2018-14466,3,3,0,0,0,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14467,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14468,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14469,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14470,1,0,1,0,0,,,4.9.2;4.9.1;4.9.0;4.99.0-bp;4.99-bp,6,
CVE-2018-14881,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2019-15166,1,1,0,2,0,,4.99.0-bp;4.99-bp,4.9.1;4.9.0;4.9.3,6,
CVE-2019-15167,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14880,4,3,1,0,0,,,4.99.0-bp;4.99-bp,6,
CVE-2018-14882,3,3,0,0,0,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-16227,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2018-16228,6,3,3,0,0,,,,6,
CVE-2018-16229,1,0,1,0,3,4.9.2;4.9.1;4.9.0,,4.99.0-bp;4.99-bp,6,
CVE-2018-16230,1,0,1,0,3,4.9.2;4.9.1;4.9.0,,4.99.0-bp;4.99-bp,6,
CVE-2018-16300,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-16451,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-16452,3,3,0,0,0,,,4.9.3;4.99.0-bp;4.99-bp,6,
