cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2017-17124,4,1,3,0,0,,,,4,
CVE-2017-17122,4,1,3,0,0,,,,4,
CVE-2017-17126,0,0,0,0,0,,,,4,true
CVE-2018-7208,4,1,3,0,0,,,,4,
CVE-2018-6543,3,0,3,0,0,,,2.30,4,
CVE-2018-6759,1,1,0,3,0,,2.31;2.31.1;2.32,,4,
CVE-2018-6872,0,0,0,0,0,,,2.30;2.31;2.31.1;2.32,4,
CVE-2018-7570,3,0,3,0,1,2.30,,,4,
CVE-2018-7568,3,0,3,0,1,2.30,,,4,
CVE-2018-7643,4,1,3,0,0,,,,4,
CVE-2018-10372,4,1,3,0,0,,,,4,
CVE-2018-10373,4,1,3,0,0,,,,4,
CVE-2018-8945,4,1,3,0,0,,,,4,
CVE-2018-17360,1,1,0,1,0,,2.32,2.33.1;2.34,4,
CVE-2018-18605,4,1,3,0,0,,,,4,
CVE-2018-18606,1,1,0,0,0,,,2.32;2.33.1;2.34,4,
CVE-2018-18607,3,0,3,0,1,2.31,,,4,
CVE-2018-19932,3,0,3,0,3,2.31;2.30;2.29.1,,,6,
CVE-2018-20002,1,1,0,3,0,,2.32;2.33.1;2.34,,4,
CVE-2018-1000876,3,3,0,3,0,,2.32;2.33.1;2.34,,6,
CVE-2018-20651,4,1,3,0,0,,,,4,
CVE-2018-20671,3,0,3,0,3,2.31.1;2.31;2.30,,,6,
CVE-2019-17451,3,0,3,0,1,2.32,,,4,
CVE-2020-19724,3,3,0,3,0,,2.34;2.35;2.35.1,,6,
CVE-2020-16590,0,0,0,0,0,,,2.35;2.35.1;2.35.2;2.36.1,4,
CVE-2020-16591,3,0,3,0,1,2.35,,,4,
CVE-2020-16593,3,0,3,0,1,2.35,,,4,
CVE-2020-16599,3,0,3,0,1,2.35,,,4,
CVE-2020-35448,1,1,0,2,0,,2.36.1;2.37,,3,
CVE-2021-20294,5,2,3,0,0,,,,5,
CVE-2021-45078,3,3,0,0,0,,,2.38;2.39,5,
CVE-2022-38533,3,3,0,2,0,,2.41;2.42,,5,
CVE-2023-25586,0,0,0,0,0,,,2.41;2.42;2.43,3,
CVE-2022-48063,5,3,2,0,0,,,,5,
CVE-2022-48064,2,0,2,0,0,,,2.39;2.38;2.37,5,
CVE-2022-48065,0,0,0,0,0,,,2.39;2.38;2.37;2.41;2.42,5,
CVE-2023-1579,0,0,0,0,0,,,2.39;2.41;2.42,3,
CVE-2018-17358,3,0,3,0,0,,,2.31.1,4,
