version,date
7.0.7-8 , 2017-10-15
7.0.7-9 , 2017-10-31
7.0.7-10 , 2017-11-05
7.0.7-11 , 2017-11-11
7.0.7-12 , 2017-11-29
7.0.7-13 , 2017-11-30
7.0.7-14 , 2017-12-05
7.0.7-15 , 2017-12-16
7.0.7-16 , 2017-12-25
7.0.7-17 , 2017-12-27
7.0.7-18 , 2017-12-28
7.0.7-19 , 2018-01-01
7.0.7-20 , 2018-01-05
7.0.7-21 , 2018-01-06
7.0.7-22 , 2018-01-22
7.0.7-23 , 2018-02-18
7.0.7-24 , 2018-02-25
7.0.7-25 , 2018-03-04
7.0.7-26 , 2018-03-11
7.0.7-27 , 2018-03-18
7.0.7-28 , 2018-03-25
7.0.7-29 , 2018-04-30
7.0.7-30 , 2018-05-01
7.0.7-31 , 2018-05-07
7.0.7-32 , 2018-05-13
7.0.7-33 , 2018-05-16
7.0.7-34 , 2018-05-20
7.0.7-35 , 2018-05-21
7.0.7-36 , 2018-05-28
7.0.7-37 , 2018-05-29
7.0.7-38 , 2018-06-02
7.0.7-39 , 2018-06-10
7.0.7.7 , 2017-10-07
7.0.8-0 , 2018-06-12
7.0.8-1 , 2018-06-16
7.0.8-2 , 2018-06-18
7.0.8-3 , 2018-06-24
7.0.8-4 , 2018-07-02
7.0.8-5 , 2018-07-04
7.0.8-6 , 2018-07-08
7.0.8-7 , 2018-07-16
7.0.8-8 , 2018-07-23
7.0.8-9 , 2018-08-05
7.0.8-10 , 2018-08-13
7.0.8-11 , 2018-08-28
7.0.8-12 , 2018-09-23
7.0.8-13 , 2018-10-21
7.0.8-14 , 2018-10-23
7.0.8-15 , 2018-12-01
7.0.8-16 , 2018-12-10
7.0.8-17 , 2018-12-17
7.0.8-18 , 2018-12-18
7.0.8-19 , 2018-12-19
7.0.8-20 , 2018-12-23
7.0.8-21 , 2018-12-27
7.0.8-22 , 2018-12-30
7.0.8-23 , 2019-01-01
7.0.8-24 , 2019-01-16
7.0.8-25 , 2019-01-27
7.0.8-26 , 2019-02-03
7.0.8-27 , 2019-02-09
7.0.8-28 , 2019-02-18
7.0.8-29 , 2019-02-28
7.0.8-30 , 2019-03-03
7.0.8-31 , 2019-03-04
7.0.8-32 , 2019-03-05
7.0.8-33 , 2019-03-10
7.0.8-34 , 2019-03-15
7.0.8-35 , 2019-03-24
7.0.8-36 , 2019-03-31
7.0.8-37 , 2019-04-03
7.0.8-38 , 2019-04-06
7.0.8-39 , 2019-04-06
7.0.8-40 , 2019-04-12
7.0.8-41 , 2019-04-20
7.0.8-42 , 2019-04-24
7.0.8-43 , 2019-05-02
7.0.8-44 , 2019-05-03
7.0.8-45 , 2019-05-12
7.0.8-46 , 2019-05-18
7.0.8-47 , 2019-05-26
7.0.8-48 , 2019-06-01
7.0.8-49 , 2019-06-08
7.0.8-50 , 2019-06-23
7.0.8-51 , 2019-06-30
7.0.8-52 , 2019-07-05
7.0.8-53 , 2019-07-05
7.0.8-54 , 2019-07-16
7.0.8-55 , 2019-07-18
7.0.8-56 , 2019-07-20
7.0.8-57 , 2019-07-26
7.0.8-58 , 2019-07-29
7.0.8-59 , 2019-08-04
7.0.8-60 , 2019-08-10
7.0.8-61 , 2019-08-16
7.0.8-62 , 2019-08-23
7.0.8-63 , 2019-08-31
7.0.8-64 , 2019-09-07
7.0.8-65 , 2019-09-15
7.0.8-66 , 2019-09-21
7.0.8-67 , 2019-09-29
7.0.8-68 , 2019-10-05
7.0.9-0 , 2019-10-24
7.0.9-1 , 2019-10-27
7.0.9-2 , 2019-10-30
7.0.9-4 , 2019-11-14
7.0.9-5 , 2019-11-17
7.0.9-6 , 2019-11-26
7.0.9-7 , 2019-11-30
7.0.9-8 , 2019-12-07
7.0.9-9 , 2019-12-16
7.0.9-10 , 2019-12-22
7.0.9-11 , 2019-12-25
7.0.9-12 , 2019-12-26
7.0.9-13 , 2019-12-30
7.0.9-14 , 2020-01-04
7.0.9-15 , 2020-01-11
7.0.9-16 , 2020-01-12
7.0.9-17 , 2020-01-18
7.0.9-18 , 2020-01-25
7.0.9-19 , 2020-01-26
7.0.9-20 , 2020-01-27
7.0.9-21 , 2020-02-01
7.0.9-22 , 2020-02-07
7.0.9-23 , 2020-02-14
7.0.9-24 , 2020-02-17
7.0.9-25 , 2020-02-21
7.0.9-26 , 2020-02-23
7.0.9-27 , 2020-02-29
7.0.10-0 , 2020-03-06
7.0.10-1 , 2020-03-15
7.0.10-2 , 2020-03-22
7.0.10-3 , 2020-03-27
7.0.10-4 , 2020-04-05
7.0.10-5 , 2020-04-05
7.0.10-6 , 2020-04-06
7.0.10-7 , 2020-04-19
7.0.10-8 , 2020-04-24
7.0.10-9 , 2020-04-26
7.0.10-10 , 2020-04-27
7.0.10-11 , 2020-05-08
7.0.10-12 , 2020-05-15
7.0.10-13 , 2020-05-17
7.0.10-14 , 2020-05-22
7.0.10-15 , 2020-05-29
7.0.10-16 , 2020-05-31
7.0.10-17 , 2020-06-07
7.0.10-18 , 2020-06-08
7.0.10-19 , 2020-06-12
7.0.10-20 , 2020-06-20
7.0.10-21 , 2020-06-22
7.0.10-22 , 2020-06-27
7.0.10-23 , 2020-07-04
7.0.10-24 , 2020-07-18
7.0.10-25 , 2020-07-31
7.0.10-26 , 2020-08-08
7.0.10-27 , 2020-08-09
7.0.10-28 , 2020-08-16
7.0.10-29 , 2020-09-05
7.0.10-30 , 2020-09-19
7.0.10-31 , 2020-09-26
7.0.10-32 , 2020-10-03
7.0.10-33 , 2020-10-04
7.0.10-34 , 2020-10-08
7.0.10-35 , 2020-10-31
7.0.10-36 , 2020-11-07
7.0.10-37 , 2020-11-07
7.0.10-38 , 2020-11-14
7.0.10-39 , 2020-11-17
7.0.10-40 , 2020-11-20
7.0.10-41 , 2020-11-21
7.0.10-42 , 2020-11-22
7.0.10-43 , 2020-11-23
7.0.10-44 , 2020-11-28
7.0.10-45 , 2020-11-30
7.0.10-46 , 2020-12-05
7.0.10-47 , 2020-12-09
7.0.10-48 , 2020-12-10
7.0.10-49 , 2020-12-14
7.0.10-50 , 2020-12-16
7.0.10-51 , 2020-12-18
7.0.10-52 , 2020-12-19
7.0.10-53 , 2020-12-24
7.0.10-54 , 2021-01-02
7.0.10-55 , 2021-01-03
7.0.10-56 , 2021-01-05
7.0.10-57 , 2021-01-09
7.0.10-58 , 2021-01-16
7.0.10-59 , 2021-01-24
7.0.10-60 , 2021-01-25
7.0.10-61 , 2021-01-30
7.0.10-62 , 2021-02-07
7.0.11-0 , 2021-02-13
7.0.11-1 , 2021-02-21
7.0.11-2 , 2021-02-27
7.0.11-3 , 2021-03-06
7.0.11-4 , 2021-03-20
7.0.11-5 , 2021-03-28
7.0.11-6 , 2021-04-03
7.0.11-7 , 2021-04-11
7.0.11-8 , 2021-04-17
7.0.11-9 , 2021-04-24
7.0.11-10 , 2021-04-28
7.0.11-11 , 2021-05-04
7.0.11-12 , 2021-05-09
7.0.11-13 , 2021-05-17
7.0.11-14 , 2021-05-31
7.1.0-0 , 2021-06-12
7.1.0-1 , 2021-06-20
7.1.0-2 , 2021-06-25
7.1.0-3 , 2021-07-17
7.1.0-4 , 2021-07-18
7.1.0-5 , 2021-08-22
7.1.0-6 , 2021-09-04
7.1.0-7 , 2021-09-12
7.1.0-8 , 2021-09-18
7.1.0-9 , 2021-10-03
7.1.0-10 , 2021-10-10
7.1.0-11 , 2021-10-24
7.1.0-12 , 2021-10-25
7.1.0-13 , 2021-10-28
7.1.0-14 , 2021-11-14
7.1.0-15 , 2021-11-20
7.1.0-16 , 2021-11-21
7.1.0-17 , 2021-12-04
7.1.0-18 , 2021-12-18
7.1.0-19 , 2021-12-22
7.1.0-20 , 2022-01-22
7.1.0-21 , 2022-01-28
7.1.0-22 , 2022-01-29
7.1.0-23 , 2022-02-05
7.1.0-24 , 2022-02-12
7.1.0-25 , 2022-02-15
7.1.0-26 , 2022-02-21
7.1.0-27 , 2022-03-04
7.1.0-28 , 2022-03-20
7.1.0-29 , 2022-03-27
7.1.0-30 , 2022-04-16
7.1.0-31 , 2022-04-23
7.1.0-32 , 2022-04-30
7.1.0-33 , 2022-05-07
7.1.0-34 , 2022-05-15
7.1.0-35 , 2022-05-16
7.1.0-36 , 2022-05-30
7.1.0-37 , 2022-06-05
7.1.0-38 , 2022-06-19
7.1.0-39 , 2022-06-20
7.1.0-40 , 2022-07-03
7.1.0-41 , 2022-07-06
7.1.0-42 , 2022-07-09
7.1.0-43 , 2022-07-09
7.1.0-44 , 2022-07-24
7.1.0-45 , 2022-07-31
7.1.0-46 , 2022-08-17
7.1.0-47 , 2022-08-27
7.1.0-48 , 2022-09-11
7.1.0-49 , 2022-09-24
7.1.0-50 , 2022-10-08
7.1.0-51 , 2022-10-16
7.1.0-52 , 2022-11-06
7.1.0-53 , 2022-12-04
7.1.0-54 , 2022-12-10
7.1.0-55 , 2022-12-17
7.1.0-56 , 2022-12-28
7.1.0-57 , 2022-12-30
7.1.0-58 , 2023-01-22
7.1.0-59 , 2023-01-28
7.1.0-60 , 2023-01-29
7.1.0-61 , 2023-02-05
7.1.0-62 , 2023-02-12
7.1.1-0 , 2023-03-08
7.1.1-1 , 2023-03-09
7.1.1-2 , 2023-03-09
7.1.1-3 , 2023-03-11
7.1.1-4 , 2023-03-18
7.1.1-5 , 2023-03-26
7.1.1-6 , 2023-04-02
7.1.1-7 , 2023-04-16
7.1.1-8 , 2023-04-22
7.1.1-9 , 2023-05-14
7.1.1-10 , 2023-05-21
7.1.1-11 , 2023-05-29
7.1.1-12 , 2023-06-25
7.1.1-13 , 2023-07-16
7.1.1-14 , 2023-07-22
7.1.1-15 , 2023-07-30
7.1.1-16 , 2023-09-17
7.1.1-17 , 2023-09-19
7.1.1-18 , 2023-09-23
7.1.1-19 , 2023-09-30
7.1.1-20 , 2023-10-08
7.1.1-21 , 2023-10-21
7.1.1-22 , 2023-12-03
7.1.1-23 , 2023-12-10
7.1.1-24 , 2023-12-25
7.1.1-25 , 2023-12-30
7.1.1-26 , 2024-01-07
7.1.1-27 , 2024-01-21
7.1.1-28 , 2024-02-11
7.1.1-29 , 2024-02-25
7.1.1-30 , 2024-04-07
7.1.1-31 , 2024-04-21
7.1.1-32 , 2024-05-05
7.1.1-33 , 2024-05-25
7.1.1-34 , 2024-06-23
7.1.1-35 , 2024-07-14
7.1.1-36 , 2024-07-27
7.1.1-37 , 2024-08-24
7.1.1-38 , 2024-09-01
7.1.1-39 , 2024-10-05
7.1.1-40 , 2024-11-09
7.1.1-41 , 2024-11-16
7.1.1-43 , 2024-12-22
7.1.1-44 , 2025-02-22
7.1.1-45 , 2025-03-09
7.1.1-46 , 2025-03-18
7.1.1-47 , 2025-03-29
7.1.2-0 , 2025-07-13
