cve,succeed,tp,tn,fp,fn,false_positive,false_negative,failed_versions,targets,no_sig
CVE-2019-15166,1,1,0,2,0,,4.99.0-bp;4.99-bp,4.9.1;4.9.0;4.9.3,6,
CVE-2019-15167,4,3,1,2,0,,4.99.0-bp;4.99-bp,,6,
CVE-2018-14880,3,3,0,0,0,,,4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-14882,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-16227,0,0,0,2,0,,4.99.0-bp;4.99-bp,4.9.2;4.9.1;4.9.0;4.9.3,6,
CVE-2018-16228,6,3,3,0,0,,,,6,
CVE-2018-16229,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-16230,3,0,3,0,3,4.9.2;4.9.1;4.9.0,,,6,
CVE-2018-16300,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-16451,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
CVE-2018-16452,0,0,0,0,0,,,4.9.2;4.9.1;4.9.0;4.9.3;4.99.0-bp;4.99-bp,6,
