CVE,succeed,failed,false_positive,false_negative,func_not_found,targets
CVE-2017-13021,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13022,3,3,,,,6
CVE-2017-13023,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13024,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13025,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13026,0,6,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13027,0,6,,,,6
CVE-2017-13028,4,2,,4.99.0-bp;4.99-bp,,6
CVE-2017-13029,0,6,,,,6
CVE-2017-13030,6,0,,,,6
CVE-2017-13031,2,4,,,,6
CVE-2017-13032,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13033,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13034,0,6,,,,6
CVE-2017-13035,0,6,,,,6
CVE-2017-13036,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13037,3,3,,,,6
CVE-2017-13038,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13039,3,3,,,,6
CVE-2017-13040,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13041,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13042,6,0,,,,6
CVE-2017-13043,0,6,,,,6
CVE-2017-13044,6,0,,,,6
CVE-2017-13045,1,5,,,,6
CVE-2017-13046,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13047,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13048,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13049,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13050,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13051,0,6,,,,6
CVE-2017-13052,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13053,3,3,,,,6
CVE-2017-13054,6,0,,,,6
CVE-2017-13055,0,4,,,4.99.0-bp;4.99-bp,6
CVE-2017-13687,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2017-13688,0,6,,,,6
CVE-2017-13689,3,3,4.9.1;4.9.0;4.8.1,,,6
CVE-2017-13690,0,6,,,,6
CVE-2017-13725,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2018-14461,1,5,,,,6
CVE-2018-14462,4,2,,4.99.0-bp;4.99-bp,,6
CVE-2018-14463,0,6,,,,6
CVE-2018-14464,1,5,,4.99.0-bp;4.99-bp,,6
CVE-2018-14465,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2018-14466,2,4,,,,6
CVE-2018-14467,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2018-14468,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2018-14469,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2018-14470,0,6,,,,6
CVE-2018-14880,4,2,,,,6
CVE-2018-14881,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2018-14882,0,6,,,,6
CVE-2018-16227,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2018-16228,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2018-16229,0,6,,,,6
CVE-2018-16230,0,6,,,,6
CVE-2018-16300,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
CVE-2018-16451,0,3,,,4.9.3;4.99.0-bp;4.99-bp,6
CVE-2018-16452,3,0,,,4.9.3;4.99.0-bp;4.99-bp,6
CVE-2019-15166,0,6,,,,6
CVE-2019-15167,3,3,,4.9.3;4.99.0-bp;4.99-bp,,6
